time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	L5_S1_Flex_Ext	L5_S1_Lat_Bending	L5_S1_axial_rotation	neck_flexion	neck_bending	neck_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	pro_sup_r	wrist_flex_r	wrist_dev_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	pro_sup_l	wrist_flex_l	wrist_dev_l
0.65000000	-8.90985817	1.93990939	8.15909611	-1.11505992	-0.18058564	0.99520845	0.50028139	-0.88558200	-1.22173048	1.16362273	-1.04719755	0.34906585	0.52359878	-0.14486573	-0.39699122	-0.63068050	0.81055706	0.32145168	0.01725632	0.52359878	-0.00897650	-0.69272374	0.73258430	-0.30741745	0.13659277	-0.01427112	-0.46966600	-0.81722192	-1.28757913	1.77893741	0.00321727	0.00000000	0.00000000	-0.11472108	-1.07593908	-0.14863423	0.81892143	2.04218787	0.00000000	0.00000000
0.66666667	-9.06539101	1.98551595	8.48521580	-1.09546130	-0.14994579	0.99305555	0.39843615	-0.70360776	-1.22173048	0.87784538	-0.94242497	0.34906585	0.52359878	-0.03837098	-0.42707208	-0.35256637	0.86370177	0.43727865	-0.07502905	0.48144392	-0.17877041	-0.58706359	0.49234108	-0.22314254	0.14780613	-0.01468098	-0.42125219	-0.86463511	-1.29400615	1.75916306	0.00000178	0.00000000	0.00000000	-0.11437419	-1.00548211	-0.16311999	0.77839379	2.09000000	0.00000000	0.00000000
0.68333333	-9.31338059	2.08428910	9.05339225	-1.05936837	-0.12812099	0.98042865	0.29251088	-0.42426034	-1.08287083	0.53967411	-0.49974908	0.34906585	0.52359878	0.20374530	-0.54368237	0.07083589	0.92043832	0.48095697	-0.14567421	0.50278881	-0.22851487	-0.35113589	0.22081159	-0.20894239	0.21283666	-0.05348128	-0.52334534	-0.82228864	-1.36541208	1.80109919	0.00523904	0.00000000	0.00000000	-0.08198003	-0.96996379	-0.13245920	0.74533280	2.06176416	0.00000000	0.00000000
0.70000000	-9.34179573	2.07413678	9.18984031	-1.04111141	-0.12632408	0.97205686	0.37753410	-0.32146038	-0.38042646	0.50568585	-0.17627091	0.01485018	0.50081329	0.25687153	-0.50590497	0.21045031	0.90421592	0.49680190	-0.19322787	0.46378690	-0.20709536	-0.34251919	0.13262735	-0.09508902	0.22893886	-0.16838095	-0.52436014	-0.84597491	-1.41498396	1.79679636	0.00187616	0.00000000	0.00000000	-0.11426966	-1.02237823	-0.04655500	0.74254093	2.07820675	0.00000000	0.00000000
0.71666667	-9.33508269	2.04656645	9.22789314	-1.03004837	-0.13188198	0.96885364	0.43828130	-0.31607643	-0.07159099	0.59720565	-0.09582334	-0.11198824	0.52359878	0.27166287	-0.49072151	0.22034156	0.90195347	0.51638674	-0.19176425	0.52359878	-0.19009537	-0.38192531	0.10442240	-0.02281952	0.29248081	-0.12274746	-0.49504551	-0.88234614	-1.40695784	1.77632611	0.00840708	0.00000000	0.00000000	-0.08567748	-1.07471316	0.01820204	0.70609049	2.07476830	0.00000000	0.00000000
0.73333333	-10.15624043	2.27323391	10.12590862	-0.97799949	-0.10531951	0.94888345	0.71538628	-0.37588576	-0.37397915	0.42374193	-0.29670697	0.00820262	0.52359878	0.83923591	-0.41732721	0.48702005	0.87210689	0.37978464	-0.29101292	0.52359878	1.27548590	-0.26210779	0.11132178	0.50000000	0.13079608	-0.15627467	0.48629926	-0.94403584	0.39329142	0.88123766	0.02746919	0.00000000	0.00000000	0.03372028	-0.84169336	-0.37043601	0.00000000	2.09000000	0.00000000	0.00000000
0.75000000	-10.45547509	2.53057324	10.39538367	-0.96766920	-0.12948548	0.91034051	1.01877575	-0.45143185	-0.49018744	0.44961283	-0.09835796	0.14250005	0.52359878	1.17476867	-0.39379743	0.51534688	0.84855781	0.39860143	-0.33339313	0.52359878	1.31827067	-0.34319969	-0.02702459	0.50000000	0.19279673	-0.16911122	0.19052467	-1.20436512	-0.07449626	1.43055650	0.04257998	0.00000000	0.00000000	-0.34452064	-0.93038926	-0.36568620	0.29104171	2.09000000	0.00000000	0.00000000
0.76666667	-10.11466150	2.27139804	10.06802712	-0.97551605	-0.09678122	0.96748841	0.62790677	-0.37719860	-0.60425245	0.28941233	-0.41129754	0.12580484	0.52359878	0.80399195	-0.44985010	0.44612436	0.85186900	0.27587189	-0.32427551	0.52359878	1.29887524	-0.23409029	-0.12346904	0.50000000	0.24994618	-0.02263137	0.79916725	-0.59146549	0.69494044	0.62582313	0.04009067	0.00000000	0.00000000	-1.68845696	0.42654101	-1.13469659	0.00000000	2.09000000	0.00000000	0.00000000
0.78333333	-9.62317234	2.14498342	9.56262798	-1.01441798	-0.08743268	0.99943019	0.37624513	-0.34291092	-0.67142868	0.25983314	-0.59683690	0.22729801	0.52359878	0.46247011	-0.50887782	0.34302726	0.84466819	0.19785858	-0.34906585	0.52359878	1.11466335	-0.05212886	0.29586828	0.43408909	-0.04033057	-0.05413824	0.48053800	-0.68045194	0.27552266	0.51045504	0.00000000	0.00000000	0.00000000	-2.08962929	0.42004676	-0.76646929	0.00000000	2.09000000	0.00000000	0.00000000
0.80000000	-9.48440611	2.12535093	9.42675852	-1.02800891	-0.08865235	1.00652296	0.32691520	-0.35649812	-0.68391296	0.26515326	-0.56746519	0.20953013	0.52359878	0.38696864	-0.51173337	0.29811354	0.84717789	0.20037982	-0.34906585	0.52359878	1.03383129	0.01705637	0.59331001	0.39608780	-0.25035236	-0.05548513	0.39366899	-0.75764981	0.70812357	0.39067972	0.00000000	0.00000000	0.00000000	-2.17473922	0.20745987	-0.83949104	0.00000000	2.09000000	0.00000000	0.00000000
